project_a,project_b,shared_contributors,shared_contributor_count,fork_related,fork_note,shared_org,creation_date_diff_days,template_evidence,cross_references,issues,verdict
iflytek/cino,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,1422,none,none,none,PASS
iflytek/cino,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,512,none,none,none,PASS
iflytek/cino,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,964,none,none,none,PASS
iflytek/cino,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,1088,none,none,none,PASS
iflytek/cino,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,1345,none,none,none,PASS
iflytek/cino,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,1533,none,none,none,PASS
jorshi/flucoma-torch,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,182,none,none,none,PASS
jorshi/flucoma-torch,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,73,none,none,none,PASS
jorshi/flucoma-torch,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,1860,none,none,none,PASS
jorshi/flucoma-torch,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,2313,none,none,none,PASS
jorshi/flucoma-torch,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,261,none,none,none,PASS
jorshi/flucoma-torch,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,4,none,none,CLOSE_CREATION_DATES: 4 days apart,REVIEW
jorshi/flucoma-torch,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,184,none,none,none,PASS
ewijaya/gflownet-peptide,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,109,none,none,none,PASS
ewijaya/gflownet-peptide,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,2042,none,none,none,PASS
ewijaya/gflownet-peptide,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,2495,none,none,none,PASS
ewijaya/gflownet-peptide,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,442,none,none,none,PASS
ewijaya/gflownet-peptide,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,185,none,none,none,PASS
ewijaya/gflownet-peptide,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,3,none,none,CLOSE_CREATION_DATES: 3 days apart,REVIEW
nick8592/lane-detection-unet-ncnn,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,1933,none,none,none,PASS
nick8592/lane-detection-unet-ncnn,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,2386,none,none,none,PASS
nick8592/lane-detection-unet-ncnn,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,333,none,none,none,PASS
nick8592/lane-detection-unet-ncnn,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,76,none,none,none,PASS
nick8592/lane-detection-unet-ncnn,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,112,none,none,none,PASS
ternaus/midv-500-models,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,452,none,none,none,PASS
ternaus/midv-500-models,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,1600,none,none,none,PASS
ternaus/midv-500-models,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,1857,none,none,none,PASS
ternaus/midv-500-models,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,2045,none,none,none,PASS
haowei01/pytorch-examples,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,2053,none,none,none,PASS
haowei01/pytorch-examples,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,2310,none,none,none,PASS
haowei01/pytorch-examples,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,2498,none,none,none,PASS
soran-ghaderi/torchebm,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,257,none,none,none,PASS
soran-ghaderi/torchebm,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,445,none,none,none,PASS
AnInsomniacy/tracknet-series-pytorch,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,189,none,none,none,PASS
